!CSV A.01.01
!Keysight Technologies,N5247A,US56070668,A.10.47.06
!Date: Tuesday, November 12, 2019 09:03:01
!Source: Standard

!CW Freq: 28000000000 Hz
BEGIN CH1_DATA
Time(s),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
0.21918935302564,-19.545012,-82.291992,-29.282778,-131.79829,-29.186724,46.249607,18.732121,-6.1995926
0.22366260512821,-19.544783,-82.28756,-32.20293,-126.05762,-29.950642,48.734959,16.2862,-2.9226999
0.22813585723077,-19.540939,-82.283676,-24.302887,-121.63336,-27.320951,43.074242,23.937773,-0.47802195
0.23260910933333,-19.541862,-82.286896,-25.431217,-128.2093,-27.86018,41.819054,22.990688,-5.2193532
0.2370823614359,-19.5436,-82.260803,-30.013147,-88.274216,-29.344757,58.888847,17.733593,33.463997
0.24155561353846,-19.543575,-82.265579,-31.121321,-109.55084,-29.855604,54.150497,16.765684,13.177585
0.24602886564103,-19.54114,-82.251434,-24.816559,-94.420197,-27.525747,56.040298,22.880754,27.174404
0.25050211774359,-19.545403,-82.257584,-29.548891,-71.250427,-29.171854,63.349487,18.506546,47.894611
0.25497536984615,-19.545725,-82.262344,-31.67786,-77.567177,-29.927084,61.751011,15.755659,43.292183
0.25944862194872,-19.545633,-82.267937,-31.309175,-95.303299,-29.599895,56.93544,16.709717,23.624657
0.26392187405128,-19.547085,-82.263763,-28.759079,-81.041069,-28.954863,61.009129,18.765188,41.146309
0.26839512615385,-19.546818,-82.263535,-31.309332,-67.454453,-30.062391,64.301506,16.109632,52.163185
0.27286837825641,-19.543549,-82.269485,-26.837675,-105.5468,-28.466841,51.688839,20.547462,13.922739
0.27734163035897,-19.544489,-82.254723,-32.209061,-83.75177,-29.920607,58.003006,15.689244,31.319878
0.28181488246154,-19.54414,-82.255608,-32.875866,-100.45412,-29.977364,53.08717,15.209034,13.954842
0.2862881345641,-19.542809,-82.269669,-30.377504,-115.48376,-29.82933,50.006546,17.324514,2.9364223
0.29076138666667,-19.541115,-82.247513,-30.587292,-78.319969,-29.684521,59.857674,16.760658,41.935562
0.29523463876923,-19.540697,-82.256996,-28.839958,-89.339699,-28.966537,57.975731,18.892422,36.01601
0.29970789087179,-19.542953,-82.250679,-32.419254,-106.4834,-30.148756,53.513035,15.234592,14.691158
0.30418114297436,-19.543669,-82.240677,-33.878937,-88.782135,-30.635178,57.639252,13.162105,27.825266
0.30865439507692,-19.539608,-82.231766,-25.738905,-89.960915,-27.932247,58.496433,21.867382,31.902557
0.31312764717949,-19.541502,-82.245384,-28.833311,-116.56709,-29.178032,49.228737,18.850145,3.7309551
0.31760089928205,-19.543547,-82.222687,-29.221727,-63.082069,-29.532955,66.151642,17.726751,57.378658
0.32207415138462,-19.544136,-82.228523,-32.108994,-71.479637,-30.256556,62.304863,14.846969,50.212605
0.32654740348718,-19.54355,-82.230568,-34.212555,-63.384846,-30.734417,62.833179,12.815742,58.247169
0.33102065558974,-19.543697,-82.227791,-33.416443,-99.906609,-30.312929,55.145515,14.250194,20.123793
0.33549390769231,-19.544704,-82.216644,-32.569874,-59.867935,-30.292591,64.583725,14.589505,60.685467
0.33996715979487,-19.543144,-82.203766,-25.146172,-71.462517,-27.789715,67.349449,22.341497,51.464695
0.34444041189744,-19.545601,-82.231667,-29.807747,-123.01686,-29.692324,48.163139,17.970898,-2.6817508
0.348913664,-19.546131,-82.232819,-35.89455,-124.10873,-30.676952,51.864021,12.825923,-0.92136693
0.35338691610256,-19.544188,-82.225838,-29.730461,-109.94453,-29.491316,53.120197,17.872524,13.672928
0.35786016820513,-19.542568,-82.25396,-24.086939,-143.4183,-27.931826,36.729168,23.866991,-18.375891
